Customer Name,Recency,Frequency,Monetary,cluster_kmeans
Aaina Balasubramanian,643,1,158876.8,1
Aaina Bhargava,15,1,26411.9,0
Aaina Bir,133,1,231044.0,1
Aaina Chander,286,1,350240.0,1
Aaina Chandran,572,1,43747.5,0
Aaina Chopra,330,1,49016.2,0
Aaina Comar,685,1,177551.2,1
Aaina Deshmukh,489,1,21146.3,0
Aaina Gala,482,1,153273.0,1
Aaina Ganguly,720,1,14384.0,0
Aaina Halder,678,1,56313.6,0
Aaina Karnik,21,1,53381.6,0
Aaina Lalla,672,1,16344.0,0
Aaina Lanka,214,1,198667.8,1
Aaina Maharaj,385,1,276288.5,1
Aaina Ramanathan,67,1,57502.4,0
Aaina Ramaswamy,410,1,86202.0,1
Aaina Raval,599,1,101161.7,1
Aaina Sagar,561,1,49113.0,0
Aaina Sharaf,275,1,62507.0,0
Aaina Shenoy,402,1,229612.2,1
Aaina Shukla,592,1,106971.9,1
Aaina Vasa,442,1,26505.55,0
Aaina Vohra,172,1,64244.7,0
Aarav Ahuja,158,1,183855.0,1
Aarav Bahri,581,1,181929.6,1
Aarav Bail,38,1,147601.65,1
Aarav Bakshi,581,1,21528.0,0
Aarav Bal,222,1,80529.0,1
Aarav Bala,149,1,128719.8,1
Aarav Barad,643,1,156909.0,1
Aarav Batra,577,1,26458.8,0
Aarav Bhatia,648,1,91941.0,1
Aarav Chatterjee,724,1,132920.0,1
Aarav Choudhry,67,1,169692.8,1
Aarav Gupta,443,1,121696.8,1
Aarav Handa,721,1,79061.9,1
Aarav Kadakia,165,1,135675.0,1
Aarav Kaur,162,1,288900.0,1
Aarav Lata,32,1,196779.25,1
Aarav Loke,641,1,210672.0,1
Aarav Randhawa,553,1,99360.5,1
Aarav Rastogi,515,1,75170.65,0
Aarav Sami,56,1,185280.0,1
Aarav Sankar,725,1,111720.6,1
Aarav Singhal,117,1,128934.0,1
Aarav Vaidya,74,1,218170.8,1
Aarna Anand,522,1,147248.0,1
Aarna Bandi,272,1,103759.2,1
Aarna Bera,531,1,164702.7,1
Aarna Borde,572,1,177050.0,1
Aarna Borra,434,1,10512.7,0
Aarna Chakrabarti,302,1,228456.0,1
Aarna Doshi,622,1,34876.8,0
Aarna Dugar,128,1,226674.75,1
Aarna Halder,96,1,55368.0,0
Aarna Jhaveri,334,1,43338.95,0
Aarna Karnik,479,1,30637.4,0
Aarna Khare,637,1,39768.0,0
Aarna Kota,357,1,150536.7,1
Aarna Kunda,541,1,75633.6,0
Aarna Ramesh,433,1,83921.4,1
Aarna Sama,349,1,65987.1,0
Aarna Sha,379,1,379965.0,1
Aarna Shah,631,1,61848.0,0
Aarna Tailor,458,1,99080.25,1
Aarna Walla,674,1,111151.8,1
Aarna Yadav,530,1,32339.1,0
Aarush Acharya,86,1,74205.45,0
Aarush Bahl,432,2,361218.8,2
Aarush Bains,299,1,317555.0,1
Aarush Batra,73,1,37302.4,0
Aarush Buch,432,1,217795.5,1
Aarush Chakrabarti,480,1,34587.0,0
Aarush Chakraborty,410,1,208641.0,1
Aarush Chaudhry,142,1,69477.0,1
Aarush Dhingra,674,1,13545.0,0
Aarush Doshi,384,1,37044.8,0
Aarush Gupta,635,1,112713.6,1
Aarush Jani,89,1,124450.0,1
Aarush Kalla,472,1,100716.0,1
Aarush Kaur,372,1,73170.9,0
Aarush Mall,216,1,263574.8,1
Aarush Mandal,501,1,139612.5,1
Aarush Mani,173,1,18453.5,0
